lang	pool	index	old	new
nl	outcome.success.easy.pool	1	"You’ve made it.
The truth remains."	"Je hebt het gehaald.
De waarheid blijft."
nl	outcome.success.easy.pool	2	"Even if it was only a small step,
you held your ground."	"Al was het maar een kleine stap,
je bent blijven staan."
nl	outcome.success.easy.pool	3	"You listened.
 The path opened."	"Je luisterde.
En het pad ging open."
nl	outcome.success.easy.pool	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."	"> Je bent tot hier gekomen.
>
> De regels waren eenvoudig —
>
> de keuze was van jou."
nl	outcome.success.easy.pool	5	"> Distance became meaning.
> 
> and time answered your footsteps."	"> Afstand kreeg betekenis.
>
> En de tijd antwoordde op je voetstappen."
nl	outcome.success.easy.pool	6	"> Not everything shines forever.
> 
> But this moment did."	"> Niet alles blijft voor altijd schitteren.
>
> Maar dit moment deed dat wel."
nl	outcome.success.easy.pool	7	"Light fell evenly, ,
and every shadow vanished."	"Het licht daalde zacht neer,
en elke schaduw trok zich terug."
nl	outcome.success.easy.pool	8	"The wind fell silent.
and everything returned to where it belonged."	"De wind werd stil.
Alles keerde terug naar zijn plaats."
nl	outcome.success.easy.pool	9	"A moment of silence.
The world steadied its breath."	"Een ogenblik stilte.
De wereld haalde weer adem."
nl	outcome.success.easy.pool	10	"The record is etched deep in the sand—
beyond the reach of the wind."	"Het spoor staat diep in het zand gegrift —
waar de wind er niet meer bij kan."
nl	outcome.success.easy.pool	11	"Harmony was restored.
Everything had been for this moment."	"Het evenwicht keerde terug.
Alles leidde naar dit moment."
nl	outcome.success.easy.pool	12	"Time slipped by in silence,
tucked away in the corners of memory."	"De tijd gleed in stilte voorbij,
veilig opgeborgen in een hoek van het geheugen."
nl	outcome.success.easy.pool	13	"The sky shifted in color,
and one story came to its end."	"De hemel veranderde van kleur,
en één verhaal vond zijn einde."
nl	outcome.success.easy.pool	14	"The waves grew calm,
and the sea hid its depths once more."	"De golven kwamen tot rust,
en de zee verborg opnieuw haar diepte."
nl	outcome.success.easy.pool	15	"The footsteps stopped,
and only the place remained."	"De voetstappen vielen stil,
en alleen de plek bleef over."
nl	outcome.success.easy.pool	16	"Victory and defeat 
are nothing more than grains of sand."	"Overwinning en nederlaag —
uiteindelijk zijn het niet meer dan zandkorrels."
nl	outcome.success.easy.pool	17	"The road goes on—or it ends.
Either way, it lies on the same earth."	"De weg gaat verder — of eindigt hier.
Hoe dan ook rust hij op dezelfde aarde."
nl	outcome.success.normal.pool	1	"The distance has found its meaning.
Time has rewarded your journey."	"De afstand heeft eindelijk betekenis gekregen.
De tijd heeft geantwoord op je reis."
nl	outcome.success.normal.pool	2	"The time is up.
but the rest is far from over."	"De tijd is om.
Maar niet alles is voorbij."
nl	outcome.success.normal.pool	3	"The axis is found.
the world has cased its motion."	"De as is gevonden.
De wereld hield haar beweging in."
nl	outcome.success.normal.pool	4	"The glass held its breath,
and you held your ground."	"Het glas hield zijn adem in,
en jij bleef overeind."
nl	outcome.success.normal.pool	5	"Under the stillness of the sky,
your spirit did not waver."	"Onder de stilte van de hemel
wankelde je geest niet."
nl	outcome.success.normal.pool	6	"Few things shine forever.
but this moment was radiant."	"Weinig dingen blijven voor altijd schitteren.
Maar dit moment schitterde."
nl	outcome.success.normal.pool	7	"You traversed the fragile earth,
without losing the view."	"Je trok over kwetsbare aarde
zonder de horizon te verliezen."
nl	outcome.success.normal.pool	8	"The moment has passed.
The legacy remains."	"Het moment is voorbij.
Wat blijft, blijft."
nl	outcome.success.normal.pool	9	"Luck fades fast.
order endures."	"Geluk vervaagt snel.
Orde blijft bestaan."
nl	outcome.success.normal.pool	10	"The sky knows no pause in endless circle,
nor shall you find yours."	"De hemel kent geen pauze in zijn eindeloze cirkel,
en jij bent ook niet gestopt."
nl	outcome.success.normal.pool	11	"The center has been reached.
The world stood still."	"Je hebt het midden bereikt.
De wereld stond stil."
