pool	index	translation
outcome.success.easy.pool	4	"> Du tog dig hit.
> 
> Reglerna var enkla —
> 
> valet var ditt."
outcome.success.easy.pool	5	"> Avståndet fick mening.
> 
> Och tiden svarade på dina steg."
outcome.success.easy.pool	6	"> Allt lyser inte för alltid.
> 
> Men det här ögonblicket gjorde det."
outcome.success.easy.pool	7	"Ljuset föll jämnt,
och varje skugga försvann."
outcome.success.easy.pool	8	"Vinden tystnade.
Och allt återvände dit det hörde hemma."
outcome.success.easy.pool	9	"Ett ögonblick av tystnad.
Världen hämtade andan."
outcome.success.easy.pool	10	"Spåret ristades djupt i sanden —
utom räckhåll för vinden."
outcome.success.easy.pool	11	"Balansen återställdes.
Allt hade lett fram till detta ögonblick."
outcome.success.easy.pool	12	"Tiden gled förbi i tystnad,
gömd i minnets hörn."
outcome.success.easy.pool	13	"Himlen skiftade färg,
och en berättelse nådde sitt slut."
outcome.success.easy.pool	14	"Vågorna stillnade,
och havet dolde åter sitt djup."
outcome.success.easy.pool	15	"Stegen stannade,
och bara platsen fanns kvar."
outcome.success.easy.pool	16	"Seger och nederlag
är inget annat än sandkorn."
outcome.success.easy.pool	17	"Vägen fortsätter — eller tar slut.
Hur som helst vilar den på samma jord."
outcome.success.normal.pool	4	"Glaset höll andan,
och du stod kvar."
outcome.success.normal.pool	5	"Under himlens stillhet
vek inte ditt mod."
outcome.success.normal.pool	6	"Få saker lyser för alltid.
Men det här ögonblicket lyste klart."
outcome.success.normal.pool	7	"Du korsade den sköra jorden
utan att tappa blicken."
outcome.success.normal.pool	8	"Ögonblicket passerade.
Det som blev kvar består."
outcome.success.normal.pool	9	"Tur bleknar snabbt.
Ordning består."
outcome.success.normal.pool	10	"Himlen gör inga uppehåll i sin ändlösa cirkel,
och inte heller gjorde du det."
outcome.success.normal.pool	11	"Centrum nåddes.
Världen stod stilla."
outcome.success.normal.pool	12	"Äntligen här.
Sanningen står orubblig."
outcome.success.normal.pool	13	"Du gick hela vägen.
Och minns detta: det var du, och ingen annan, som valde den."
outcome.success.normal.pool	14	"Tiden gled in i tystnad,
och fann sin plats i sinnets djup."
outcome.success.normal.pool	15	"När himlen förändrades
fick berättelsen sitt slut."
outcome.success.normal.pool	16	"Vattnet stillnade,
och himlen dolde åter sitt avgrundsdjup."
outcome.success.normal.pool	17	"Stegen upphörde,
och bara platsen fanns kvar."
outcome.success.normal.pool	18	"Ljuset föll jämnt,
och varje skugga försvann."
outcome.success.normal.pool	19	"Vinden tystnade.
Och allt återvände dit det hörde hemma."
outcome.success.normal.pool	20	"Ett ögonblick av tystnad.
Världen hämtade andan."
outcome.success.normal.pool	21	"Spåret ristades djupt i sanden —
utom räckhåll för vinden."
outcome.success.normal.pool	22	"Balansen återställdes.
Allt hade lett fram till detta ögonblick."
outcome.success.normal.pool	23	"LOPPET SLUTFÖRT.
Klart. Funnet.
Det räcker."
outcome.success.normal.pool	24	"LOPPET SLUTFÖRT.
Vägen höll.
Det gjorde du också."
outcome.success.normal.pool	25	"Himlen fortsatte röra sig.
Det kan du också."
outcome.success.normal.pool	26	"LOPPET SLUTFÖRT.
Ett stilla resultat.
Tyngden av verkligt arbete."
outcome.success.normal.pool	27	"Du gick bara den väg
som världen hade lagt framför dig."
outcome.success.normal.pool	28	"Marken gav inte vika.
Den litade på dina steg."
outcome.success.normal.pool	29	"Det här ögonblicket föll i takt
med stjärnornas uråldriga rytm."
outcome.success.normal.pool	30	"Du tog ingenting.
Du förstod något."
outcome.success.normal.pool	31	"Du vann ingenting.
Du såg bara sanningen som den var."
outcome.success.normal.pool	32	"Du tog inte den här platsen.
Du hörde hemma här."
outcome.success.normal.pool	33	"Du gick en väg
äldre än minnet självt."
outcome.success.normal.pool	34	"Jorden gjorde inget motstånd.
Den kände igen dig."
outcome.success.normal.pool	35	"Det här ögonblicket föll i takt
med stjärnornas stillhet."
outcome.success.hard.pool	4	"Resultatet stod kvar.
Positionen förändrades."
outcome.success.hard.pool	5	"Mellan is och glas
valde du kontroll."
outcome.success.hard.pool	6	"Vågorna tystnade,
och havet tog tillbaka sina dolda djup."
outcome.success.hard.pool	7	"Några skatter väntar ännu.
Nästa gång, en annan väg."
outcome.success.hard.pool	8	"Himlen förändrades inte.
Det gjorde du."
