lang	pool	index	translation
zh_tw	outcome.success.easy.pool	1	"你做到了。
真相仍然立在原處。"
zh_tw	outcome.success.easy.pool	2	"即使只是小小一步，
你也站穩了。"
zh_tw	outcome.success.easy.pool	3	"你聽見了。
於是道路自己打開。"
zh_tw	outcome.success.easy.pool	4	"> 你走到了這裡。
> 
> 規則很簡單——
> 
> 選擇是你的。"
zh_tw	outcome.success.easy.pool	5	"> 距離有了意義。
> 
> 時間也回應了你的腳步。"
zh_tw	outcome.success.easy.pool	6	"> 不是所有光都會永遠閃耀。
> 
> 但這一刻，確實亮了。"
zh_tw	outcome.success.easy.pool	7	"光均勻地落下，
所有陰影都消失了。"
zh_tw	outcome.success.easy.pool	8	"風安靜下來。
一切都回到了該在的位置。"
zh_tw	outcome.success.easy.pool	9	"短暫的寂靜。
世界重新調整了呼吸。"
zh_tw	outcome.success.easy.pool	10	"痕跡深深刻進沙裡——
在風也碰不到的地方。"
zh_tw	outcome.success.easy.pool	11	"平衡回來了。
一切都通往這一刻。"
zh_tw	outcome.success.easy.pool	12	"時間靜靜流過，
停在記憶的角落。"
zh_tw	outcome.success.easy.pool	13	"天空換了顏色，
一段故事抵達終點。"
zh_tw	outcome.success.easy.pool	14	"浪平息了，
海再次藏起自己的深度。"
zh_tw	outcome.success.easy.pool	15	"腳步停下，
只剩那個地方留下來。"
zh_tw	outcome.success.easy.pool	16	"勝利與失敗，
終究只是沙粒。"
zh_tw	outcome.success.easy.pool	17	"路會繼續——或在此結束。
無論如何，它都躺在同一片土地上。"
zh_tw	outcome.success.normal.pool	1	"距離找到了意義。
時間回應了你的旅程。"
zh_tw	outcome.success.normal.pool	2	"時間結束了。
但一切還沒有結束。"
zh_tw	outcome.success.normal.pool	3	"軸心被找到了。
世界停下了轉動。"
zh_tw	outcome.success.normal.pool	4	"玻璃屏住呼吸，
而你守住了位置。"
zh_tw	outcome.success.normal.pool	5	"在安靜的天空下，
你的心沒有動搖。"
zh_tw	outcome.success.normal.pool	6	"很少有東西能永遠發光。
但這一刻，亮得很清楚。"
zh_tw	outcome.success.normal.pool	7	"你穿過脆弱的土地，
沒有移開視線。"
zh_tw	outcome.success.normal.pool	8	"那一刻已經過去。
留下的，仍然留下。"
