lang	pool	index	old	new
it	outcome.success.easy.pool	1	"You’ve made it.
The truth remains."	"Ce l’hai fatta.
La verità resta."
it	outcome.success.easy.pool	2	"Even if it was only a small step,
you held your ground."	"Anche se era solo un piccolo passo,
hai tenuto saldo il terreno sotto di te."
it	outcome.success.easy.pool	3	"You listened.
 The path opened."	"Hai ascoltato.
E il sentiero si è aperto."
it	outcome.success.easy.pool	4	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."	"> Sei arrivato fin qui.
>
> Le regole erano semplici —
>
> la scelta era tua."
it	outcome.success.easy.pool	5	"> Distance became meaning.
> 
> and time answered your footsteps."	"> La distanza ha preso significato.
>
> E il tempo ha risposto ai tuoi passi."
it	outcome.success.easy.pool	6	"> Not everything shines forever.
> 
> But this moment did."	"> Non tutto ciò che brilla dura per sempre.
>
> Ma questo istante ha brillato."
it	outcome.success.easy.pool	7	"Light fell evenly, ,
and every shadow vanished."	"La luce è scesa piano,
e ogni ombra si è ritirata."
it	outcome.success.easy.pool	8	"The wind fell silent.
and everything returned to where it belonged."	"Il vento si è placato.
Ogni cosa è tornata al suo posto."
it	outcome.success.easy.pool	9	"A moment of silence.
The world steadied its breath."	"Un istante di silenzio.
Il mondo ha ripreso fiato."
it	outcome.success.easy.pool	10	"The record is etched deep in the sand—
beyond the reach of the wind."	"La traccia si è incisa nella sabbia —
là dove il vento non arriva più."
it	outcome.success.easy.pool	11	"Harmony was restored.
Everything had been for this moment."	"L’equilibrio è tornato.
Tutto portava a questo istante."
it	outcome.success.easy.pool	12	"Time slipped by in silence,
tucked away in the corners of memory."	"Il tempo è scivolato via in silenzio,
al riparo in un angolo della memoria."
it	outcome.success.easy.pool	13	"The sky shifted in color,
and one story came to its end."	"Il cielo ha cambiato colore,
e una storia si è chiusa."
it	outcome.success.easy.pool	14	"The waves grew calm,
and the sea hid its depths once more."	"Le onde si sono calmate,
e il mare ha custodito di nuovo le sue profondità."
it	outcome.success.easy.pool	15	"The footsteps stopped,
and only the place remained."	"I passi si sono fermati,
e solo il luogo è rimasto."
it	outcome.success.easy.pool	16	"Victory and defeat 
are nothing more than grains of sand."	"Vittoria e sconfitta —
in fondo, non sono che granelli di sabbia."
it	outcome.success.easy.pool	17	"The road goes on—or it ends.
Either way, it lies on the same earth."	"La strada continua — oppure finisce qui.
In entrambi i casi, poggia sulla stessa terra."
it	outcome.success.normal.pool	1	"The distance has found its meaning.
Time has rewarded your journey."	"La distanza ha finalmente trovato il suo senso.
Il tempo ha risposto al tuo viaggio."
it	outcome.success.normal.pool	2	"The time is up.
but the rest is far from over."	"Il tempo è scaduto.
Ma non tutto è finito."
it	outcome.success.normal.pool	3	"The axis is found.
the world has cased its motion."	"L’asse è stato trovato.
Il mondo ha sospeso il suo moto."
it	outcome.success.normal.pool	4	"The glass held its breath,
and you held your ground."	"Il vetro ha trattenuto il respiro,
e tu hai tenuto duro."
it	outcome.success.normal.pool	5	"Under the stillness of the sky,
your spirit did not waver."	"Sotto il cielo immobile,
il tuo spirito non ha vacillato."
it	outcome.success.normal.pool	6	"Few things shine forever.
but this moment was radiant."	"Poche cose brillano per sempre.
Ma questo istante ha brillato."
it	outcome.success.normal.pool	7	"You traversed the fragile earth,
without losing the view."	"Hai attraversato una terra fragile
senza perdere di vista l’orizzonte."
it	outcome.success.normal.pool	8	"The moment has passed.
The legacy remains."	"L’istante è passato.
Ciò che resta, resta."
it	outcome.success.normal.pool	9	"Luck fades fast.
order endures."	"La fortuna svanisce in fretta.
L’ordine rimane."
it	outcome.success.normal.pool	10	"The sky knows no pause in endless circle,
nor shall you find yours."	"Il cielo non conosce pause nel suo cerchio infinito,
e nemmeno tu ti sei fermato."
it	outcome.success.normal.pool	11	"The center has been reached.
The world stood still."	"Hai raggiunto il centro.
Il mondo si è fermato."
it	outcome.success.normal.pool	12	"Finally here.
The truth remains unyielding."	"Finalmente sei qui.
La verità resta salda."
it	outcome.success.normal.pool	13	"You have seen it through.
And mark this: it was you, and no one else, who chose this path."	"Sei arrivato fino in fondo.
Ricordalo: questa strada l’hai scelta tu, nessun altro."
it	outcome.success.normal.pool	14	"Time drifted into silence,
finding its place in the recesses of the mind."	"Il tempo è scivolato nel silenzio
e ha trovato posto nel fondo della memoria."
it	outcome.success.normal.pool	15	"As the sky transformed,
the tale found its final resolved."	"Mentre il cielo cambiava colore,
la storia ha trovato la sua fine."
it	outcome.success.normal.pool	16	"The waters fell calm,
and the sky once more veiled its abyss."	"Le acque si sono calmate,
e il cielo ha velato di nuovo l’abisso."
it	outcome.success.normal.pool	17	"The footsteps ceased,
only the place remained."	"I passi si sono spenti,
e solo il luogo è rimasto."
it	outcome.success.normal.pool	18	"Light fell evenly, ,
and every shadow vanished."	"La luce è scesa piano,
e ogni ombra si è ritirata."
it	outcome.success.normal.pool	19	"The wind fell silent.
and everything returned to where it belonged."	"Il vento si è placato.
Ogni cosa è tornata al suo posto."
it	outcome.success.normal.pool	20	"A moment of silence.
The world steadied its breath."	"Un istante di silenzio.
Il mondo ha ripreso fiato."
it	outcome.success.normal.pool	21	"The record is etched deep in the sand—
beyond the reach of the wind."	"La traccia si è incisa nella sabbia —
là dove il vento non arriva più."
it	outcome.success.normal.pool	22	"Harmony was restored.
Everything had been for this moment."	"L’equilibrio è tornato.
Tutto portava a questo istante."
it	outcome.success.normal.pool	23	"RUN COMPLETE.
Clear. Found it.
That's enough."	"Corsa completata.
Chiaro. Trovato.
Basta così."
it	outcome.success.normal.pool	24	"RUN COMPLETE.
The path held.
So did you."	"Corsa completata.
Il sentiero ha retto.
Anche tu."
it	outcome.success.normal.pool	25	"The sky has kept moving.
So can you."	"Il cielo ha continuato il suo corso.
Puoi farlo anche tu."
it	outcome.success.normal.pool	26	"RUN COMPLETE.
A quiet result.
The weight of real work."	"Corsa completata.
Un risultato quieto.
Il peso del lavoro vero."
it	outcome.success.normal.pool	27	"You only walked the path
the world had laid out for you."	"Hai solo seguito il sentiero
che il mondo aveva tracciato davanti a te."
it	outcome.success.normal.pool	28	"The ground didn’t give way.
It trusted your steps."	"La terra non ha ceduto.
Si è fidata dei tuoi passi."
it	outcome.success.normal.pool	29	"This moment aligned
with the stars’ ancient rhythm."	"Questo istante si è accordato
al ritmo antico delle stelle."
it	outcome.success.normal.pool	30	"You didn’t take anything.
 You understood something."	"Non hai preso nulla.
Hai capito qualcosa."
it	outcome.success.normal.pool	31	"You didn’t gain a thing.
You only saw the truth for what it was."	"Non hai guadagnato nulla per te.
Hai solo visto la verità per ciò che era."
it	outcome.success.normal.pool	32	"You didn’t take this place.
You belonged here."	"Non hai conquistato questo luogo.
Ne facevi parte."
it	outcome.success.normal.pool	33	"You walked a road
older than memory itself."	"Hai percorso una via
più antica della memoria stessa."
it	outcome.success.normal.pool	34	"The earth did not resist.
It recognized you."	"La terra non ha opposto resistenza.
Ti ha riconosciuto."
it	outcome.success.normal.pool	35	"This moment aligned
 with the stillness of the stars."	"Questo istante si è accordato
al silenzio delle stelle."
it	outcome.success.hard.pool	1	"In the north wind,
clarity outlasts speed."	"Nel vento del nord,
la chiarezza dura più della velocità."
it	outcome.success.hard.pool	2	"The center was found.
 The world came to rest."	"Il centro è stato trovato.
Il mondo ha potuto quietarsi."
it	outcome.success.hard.pool	3	"The stars stay silent.
Your record does the speaking."	"Le stelle tacciono.
La tua traccia parla per te."
it	outcome.success.hard.pool	4	"The result  remained.
The position changed."	"Il risultato ha retto.
La posizione è cambiata."
it	outcome.success.hard.pool	5	"Between ice and glass,
you chose control."	"Tra ghiaccio e vetro,
hai scelto il controllo."
it	outcome.success.hard.pool	6	"The waves fell quiet,
and the sea reclaimed its hidden depths."	"Le onde si sono spente,
e il mare ha ripreso le sue profondità segrete."
it	outcome.success.hard.pool	7	"Some treasures still await.
Next time, a different path."	"Altri tesori aspettano ancora.
La prossima volta, un altro sentiero."
it	outcome.success.hard.pool	8	"The sky didn’t change.
You did."	"Il cielo non è cambiato.
Tu sì."
it	outcome.success.hard.pool	9	"The moment passed.
What remained was order."	"L’istante è passato.
È rimasto solo l’ordine."
it	outcome.success.hard.pool	10	"Winter is honest.
So was your run."	"L’inverno è onesto.
Lo è stata anche la tua corsa."
it	outcome.success.hard.pool	11	"The stars aligned for a moment.
You noticed."	"Le stelle si sono allineate per un istante.
Tu te ne sei accorto."
it	outcome.success.hard.pool	12	"The distance closed.
Time did not."	"La distanza si è chiusa.
Il tempo no."
it	outcome.success.hard.pool	13	"The world’s rules stood firm.
 And the signal of possibility was real."	"Le regole del mondo sono rimaste salde.
E il segno del possibile era reale."
it	outcome.success.hard.pool	14	"The path closed quietly.
You were already through."	"Il sentiero si è richiuso in silenzio.
Tu lo avevi già attraversato."
it	outcome.success.hard.pool	15	"Nothing changed.
Only your position did."	"Hai trovato abbastanza.
Il resto può aspettare."
it	outcome.success.hard.pool	16	"Not luck.
Alignment."	"Non hai ottenuto tutto.
Ma nulla è andato perduto."
it	outcome.success.hard.pool	17	"The moment passed.
The record remains."	"La sabbia ha dimenticato i tuoi passi.
Il risultato no."
