lang	pool	index	old	new	status
sa	outcome.success.easy.pool	1	"त्वं प्राप्तवान्।
सत्यं स्वस्थाने एव तिष्ठति।"	"प्राप्तम्।
सत्यं तत्रैव तिष्ठति।"	CHANGED
sa	outcome.success.easy.pool	2	"एकं लघुपदम् अपि आसीत् चेत्,
त्वं न प्रतिनिवृत्तवान्।"	"लघुपदमात्रम् आसीत् चेत् अपि,
त्वं न निवृत्तः।"	CHANGED
sa	outcome.success.easy.pool	3	"त्वया श्रुतम्।
ततः मार्गः स्वयं विवृतः।"	"श्रुतं त्वया।
मार्गः स्वयमेव विवृतः।"	CHANGED
sa	outcome.success.easy.pool	4	"> अत्र त्वं प्राप्तवान्।
>
> नियमाः सरलाः आसन् —
>
> विकल्पः तव हस्ते एव आसीत्।"	"> अत्र प्राप्तम्।
>
> नियमाः सरलाः आसन् —
>
> विकल्पः तव एव।"	CHANGED
sa	outcome.success.easy.pool	5	"> दूरत्वम् अर्थं प्राप्तम्।
>
> कालः अपि तव पदशब्दम् प्रत्यवदत्।"	"> दूरत्वम् अर्थवत् अभवत्।
>
> कालः अपि तव पदानि प्रत्यवदत्।"	CHANGED
sa	outcome.success.easy.pool	6	"> न सर्वं ज्योतिः नित्यं दीप्यते।
>
> किन्तु अयं क्षणः दीपितः।"	"> न सर्वं ज्योतिः चिरं दीप्यते।
>
> अयं तु क्षणः दीपितः।"	CHANGED
sa	outcome.success.easy.pool	7	"ज्योतिः शान्ततया अपतत्,
सर्वाः छायाः निवृत्ताः।"	"ज्योतिः शनैः अपतत्,
छायाः सर्वाः अपसृताः।"	CHANGED
sa	outcome.success.easy.pool	8	"वायुः शान्तः।
सर्वं स्वस्थानं प्रतिपन्नम्।"	"वायुः शान्तः।
सर्वं स्वस्थानम् अगच्छत्।"	CHANGED
sa	outcome.success.easy.pool	9	"क्षणमात्रं मौनम्।
जगत् पुनः स्वश्वासं समीकृतवत्।"	"क्षणं मौनम्।
जगत् पुनः स्वश्वासम् अलभत।"	CHANGED
sa	outcome.success.easy.pool	10	"चिह्नं सिकतासु गाढं लिखितम् —
यत्र वायुरपि न प्राप्नोति।"	"चिह्नं सिकतायां गाढं लिखितम् —
यत्र वायुरपि न गच्छति।"	CHANGED
sa	outcome.success.easy.pool	11	"समता पुनरागताः।
सर्वं अस्मिन् क्षणे एव संगतम्।"	"समता पुनरागता।
सर्वं अस्मै क्षणाय इव आसीत्।"	CHANGED
