lang	pool	kind	meta	value
es	outcome.success.easy.pool	COUNT	17	17
es	outcome.success.normal.pool	COUNT	35	35
es	outcome.success.normal.pool	SPANISH_HINT_MISSING	23	"Carrera completada.
Claro. Encontrado.
Eso basta."
es	outcome.success.normal.pool	SPANISH_HINT_MISSING	30	"No tomaste nada.
Comprendiste algo."
es	outcome.success.hard.pool	COUNT	32	32
es	outcome.timeup.easy.pool	COUNT	16	16
es	outcome.timeup.normal.pool	COUNT	20	20
es	outcome.timeup.hard.pool	COUNT	38	38
es	outcome.timeup.hard.pool	SPANISH_HINT_MISSING	23	"No fue victoria.
Fue medida."
es	outcome.timeup.hard.pool	SPANISH_HINT_MISSING	37	"No hubo atajo.
Solo aprendizaje."
