lang	pool	index	translation
pt	outcome.success.easy.pool	1	"Você conseguiu.
A verdade continua de pé."
pt	outcome.success.easy.pool	2	"Mesmo que tenha sido só um pequeno passo,
você se manteve firme."
pt	outcome.success.easy.pool	3	"Você escutou.
E o caminho se abriu."
pt	outcome.success.easy.pool	4	"> Você chegou até aqui.
> 
> As regras eram simples —
> 
> a escolha era sua."
pt	outcome.success.easy.pool	5	"> A distância ganhou sentido.
> 
> E o tempo respondeu aos seus passos."
pt	outcome.success.easy.pool	6	"> Nem tudo brilha para sempre.
> 
> Mas este momento brilhou."
pt	outcome.success.easy.pool	7	"A luz se espalhou por igual,
e toda sombra desapareceu."
pt	outcome.success.easy.pool	8	"O vento se calou.
E tudo voltou ao seu lugar."
pt	outcome.success.easy.pool	9	"Um instante de silêncio.
O mundo voltou a respirar."
pt	outcome.success.easy.pool	10	"A marca ficou gravada fundo na areia —
fora do alcance do vento."
pt	outcome.success.easy.pool	11	"A harmonia foi restaurada.
Tudo levou a este momento."
pt	outcome.success.easy.pool	12	"O tempo passou em silêncio,
guardado nos cantos da memória."
pt	outcome.success.easy.pool	13	"O céu mudou de cor,
e uma história chegou ao fim."
pt	outcome.success.easy.pool	14	"As ondas se acalmaram,
e o mar escondeu novamente sua profundidade."
pt	outcome.success.easy.pool	15	"Os passos pararam,
e só o lugar permaneceu."
pt	outcome.success.easy.pool	16	"Vitória e derrota
são apenas grãos de areia."
pt	outcome.success.easy.pool	17	"A estrada continua — ou termina.
De qualquer forma, repousa sobre a mesma terra."
pt	outcome.success.normal.pool	1	"A distância encontrou sentido.
O tempo respondeu à sua jornada."
pt	outcome.success.normal.pool	2	"O tempo acabou.
Mas nem tudo terminou."
pt	outcome.success.normal.pool	3	"O eixo foi encontrado.
O mundo interrompeu seu movimento."
pt	outcome.success.normal.pool	4	"O vidro segurou o fôlego,
e você manteve sua posição."
pt	outcome.success.normal.pool	5	"Sob a quietude do céu,
seu espírito não vacilou."
pt	outcome.success.normal.pool	6	"Poucas coisas brilham para sempre.
Mas este momento brilhou inteiro."
pt	outcome.success.normal.pool	7	"Você atravessou a terra frágil,
sem perder a paisagem de vista."
pt	outcome.success.normal.pool	8	"O momento passou.
O que ficou permanece."
pt	outcome.success.normal.pool	9	"A sorte se apaga depressa.
A ordem permanece."
pt	outcome.success.normal.pool	10	"O céu não faz pausas em seu círculo infinito,
e você também não parou."
pt	outcome.success.normal.pool	11	"O centro foi alcançado.
O mundo ficou imóvel."
pt	outcome.success.normal.pool	12	"Finalmente aqui.
A verdade continua firme."
pt	outcome.success.normal.pool	13	"Você foi até o fim.
E lembre-se: foi você, e ninguém mais, que escolheu este caminho."
pt	outcome.success.normal.pool	14	"O tempo deslizou para o silêncio,
encontrando lugar nas profundezas da mente."
pt	outcome.success.normal.pool	15	"Enquanto o céu se transformava,
a história encontrou seu desfecho."
pt	outcome.success.normal.pool	16	"As águas se acalmaram,
e o céu voltou a esconder seu abismo."
pt	outcome.success.normal.pool	17	"Os passos cessaram,
e só o lugar permaneceu."
pt	outcome.success.normal.pool	18	"A luz se espalhou por igual,
e toda sombra desapareceu."
