lang	pool	index	old	new
fr	outcome.success.easy.pool	1	"Tu es arrivé.
La vérité demeure."	"Tu es arrivé.
La vérité reste."
fr	outcome.success.easy.pool	2	"Même si ce n’était qu’un petit pas,
tu as tenu bon."	"Même si ce n’était qu’un pas modeste,
tu as tenu bon."
fr	outcome.success.easy.pool	3	"Tu as écouté.
Et le chemin s’est ouvert."	"Tu as écouté.
Alors le chemin s’est ouvert."
fr	outcome.success.easy.pool	4	"> Tu es arrivé jusqu’ici.
>
> Les règles étaient simples —
>
> le choix t’appartenait."	"> Tu es arrivé jusqu’ici.
>
> Les règles étaient simples —
>
> le choix était le tien."
fr	outcome.success.easy.pool	5	"> La distance a pris sens.
>
> Et le temps a répondu à tes pas."	"> La distance a pris sens.
>
> Et le temps a répondu à chacun de tes pas."
fr	outcome.success.easy.pool	7	"La lumière est descendue doucement,
et toutes les ombres se sont retirées."	"La lumière est tombée doucement,
et toutes les ombres se sont retirées."
fr	outcome.success.easy.pool	8	"Le vent s’est tu.
Tout est revenu à sa place."	"Le vent s’est tu.
Tout a repris sa place."
fr	outcome.success.easy.pool	9	"Un instant de silence.
Le monde a repris son souffle."	"Un silence, un instant.
Le monde a repris son souffle."
fr	outcome.success.easy.pool	10	"La trace s’est gravée dans le sable —
là où le vent ne l’atteint plus."	"La trace s’est inscrite dans le sable —
là où le vent ne l’efface plus."
fr	outcome.success.easy.pool	11	"L’équilibre a été rétabli.
Tout menait à cet instant."	"L’équilibre est revenu.
Tout menait à cet instant."
fr	outcome.success.easy.pool	12	"Le temps a glissé en silence,
préservé dans un recoin de la mémoire."	"Le temps a glissé en silence,
à l’abri dans un recoin de la mémoire."
fr	outcome.success.easy.pool	13	"Le ciel a changé de couleur,
et une histoire a trouvé sa fin."	"Le ciel a changé de couleur,
et une histoire s’est achevée."
fr	outcome.success.easy.pool	14	"Les vagues se sont apaisées,
et la mer a de nouveau caché ses profondeurs."	"Les vagues se sont apaisées,
et la mer a de nouveau gardé ses profondeurs."
fr	outcome.success.easy.pool	15	"Les pas se sont arrêtés,
et seul le lieu est resté."	"Les pas se sont arrêtés,
et le lieu seul est resté."
fr	outcome.success.normal.pool	1	"La distance a enfin trouvé son sens.
Le temps a répondu à ton voyage."	"La distance a enfin pris sens.
Le temps a répondu à ton voyage."
fr	outcome.success.normal.pool	2	"Le temps est écoulé.
Mais tout n’est pas terminé."	"Le temps est écoulé.
Mais rien n’est vraiment terminé."
fr	outcome.success.normal.pool	3	"L’axe a été trouvé.
Le monde a retenu son mouvement."	"L’axe a été trouvé.
Le monde a suspendu son mouvement."
fr	outcome.success.normal.pool	4	"Le verre a retenu son souffle,
et tu as tenu bon."	"Le verre a retenu son souffle,
et toi, tu as tenu bon."
fr	outcome.success.normal.pool	5	"Sous le ciel immobile,
ton esprit n’a pas vacillé."	"Sous le ciel immobile,
ton esprit n’a pas tremblé."
fr	outcome.success.normal.pool	6	"Peu de choses brillent pour toujours.
Mais cet instant était lumineux."	"Peu de choses brillent à jamais.
Mais cet instant a brillé."
fr	outcome.success.normal.pool	7	"Tu as traversé une terre fragile
sans perdre ton horizon."	"Tu as traversé une terre fragile
sans perdre de vue l’horizon."
fr	outcome.success.normal.pool	8	"L’instant est passé.
Ce qui demeure demeure."	"L’instant est passé.
Ce qui reste demeure."
fr	outcome.success.normal.pool	9	"La chance se fane vite.
L’ordre demeure."	"La chance s’efface vite.
L’ordre demeure."
fr	outcome.success.normal.pool	10	"Le ciel ne connaît aucune pause dans son cercle infini,
et toi non plus, tu ne t’es pas arrêté."	"Le ciel ne marque aucune pause dans son cercle infini,
et toi non plus, tu ne t’es pas arrêté."
fr	outcome.success.normal.pool	11	"Tu as atteint le centre.
Le monde est resté immobile."	"Tu as atteint le centre.
Le monde s’est immobilisé."
fr	outcome.success.normal.pool	12	"Te voilà enfin ici.
La vérité tient bon."	"Te voilà enfin ici.
La vérité demeure."
fr	outcome.success.normal.pool	13	"Tu es allé jusqu’au bout.
Souviens-toi : ce chemin, c’est toi qui l’as choisi, et personne d’autre."	"Tu es allé jusqu’au bout.
Souviens-toi : ce chemin, c’est toi qui l’as choisi. Personne d’autre."
fr	outcome.success.normal.pool	14	"Le temps a glissé vers le silence
et trouvé sa place dans les profondeurs de la mémoire."	"Le temps a glissé vers le silence
et trouvé sa place au fond de la mémoire."
fr	outcome.success.normal.pool	15	"Tandis que le ciel changeait de couleur,
l’histoire a trouvé son dénouement."	"Tandis que le ciel changeait de couleur,
l’histoire a trouvé sa fin."
fr	outcome.success.normal.pool	16	"Les eaux se sont calmées,
et le ciel a de nouveau voilé son abîme."	"Les eaux se sont calmées,
et le ciel a de nouveau voilé l’abîme."
fr	outcome.success.normal.pool	17	"Les pas se sont tus,
et seul le lieu est resté."	"Les pas se sont tus,
et le lieu seul est resté."
fr	outcome.success.normal.pool	18	"La lumière est descendue doucement,
et toutes les ombres se sont retirées."	"La lumière est tombée doucement,
et toutes les ombres se sont retirées."
fr	outcome.success.normal.pool	19	"Le vent s’est tu.
Tout est revenu à sa place."	"Le vent s’est tu.
Tout a repris sa place."
fr	outcome.success.normal.pool	20	"Un instant de silence.
Le monde a repris son souffle."	"Un silence, un instant.
Le monde a repris son souffle."
fr	outcome.success.normal.pool	21	"La trace s’est gravée dans le sable —
là où le vent ne l’atteint plus."	"La trace s’est inscrite dans le sable —
là où le vent ne l’efface plus."
fr	outcome.success.normal.pool	22	"L’équilibre a été rétabli.
Tout menait à cet instant."	"L’équilibre est revenu.
Tout menait à cet instant."
fr	outcome.success.normal.pool	23	"Course terminée.
Clair. Trouvé.
Cela suffit."	"Course terminée.
Clair. Trouvé.
Ça suffit."
fr	outcome.success.normal.pool	25	"Le ciel a continué son mouvement.
Toi aussi, tu le peux."	"Le ciel a poursuivi sa course.
Toi aussi, tu peux continuer."
fr	outcome.success.normal.pool	26	"Course terminée.
Un résultat silencieux.
Le poids du vrai travail."	"Course terminée.
Un résultat discret.
Le poids du vrai travail."
fr	outcome.success.normal.pool	27	"Tu n’as fait que suivre le sentier
que le monde avait placé devant toi."	"Tu n’as fait que suivre le sentier
que le monde avait tracé devant toi."
fr	outcome.success.normal.pool	28	"La terre n’a pas cédé.
Elle a fait confiance à tes pas."	"La terre n’a pas cédé.
Elle s’est fiée à tes pas."
fr	outcome.success.normal.pool	29	"Cet instant s’est accordé
au rythme ancien des étoiles."	"Cet instant s’est accordé
au vieux rythme des étoiles."
fr	outcome.success.normal.pool	31	"Tu n’as rien gagné pour toi.
Tu as seulement vu la vérité telle qu’elle était."	"Tu n’as rien gagné pour toi seul.
Tu as seulement vu la vérité telle qu’elle était."
fr	outcome.success.normal.pool	32	"Tu n’as pas conquis ce lieu.
Tu y appartenais."	"Tu n’as pas conquis ce lieu.
Tu en faisais partie."
fr	outcome.success.normal.pool	33	"Tu as marché sur une voie
plus ancienne que la mémoire elle-même."	"Tu as emprunté une voie
plus ancienne que la mémoire elle-même."
fr	outcome.success.normal.pool	35	"Cet instant s’est aligné
sur le silence des étoiles."	"Cet instant s’est accordé
au silence des étoiles."
fr	outcome.success.hard.pool	1	"Dans le vent du nord,
la clarté dure plus longtemps que la vitesse."	"Dans le vent du nord,
la clarté dure plus que la vitesse."
fr	outcome.success.hard.pool	2	"Le centre a été trouvé.
Le monde a pu se reposer."	"Le centre a été trouvé.
Le monde a pu s’apaiser."
fr	outcome.success.hard.pool	3	"Les étoiles gardent le silence.
Ta trace parle pour toi."	"Les étoiles se taisent.
Ta trace parle pour toi."
fr	outcome.success.hard.pool	4	"Le résultat est resté.
La position a changé."	"Le résultat tient.
La position a changé."
fr	outcome.success.hard.pool	5	"Entre la glace et le verre,
tu as choisi la maîtrise."	"Entre glace et verre,
tu as choisi la maîtrise."
fr	outcome.success.hard.pool	6	"Les vagues se sont tues,
et la mer a repris ses profondeurs cachées."	"Les vagues se sont tues,
et la mer a repris ses profondeurs secrètes."
