lang	pool	index	translation
hi	outcome.success.easy.pool	1	"तुमने कर दिखाया।
सच अब भी कायम है।"
hi	outcome.success.easy.pool	2	"भले ही वह बस एक छोटा कदम था,
तुम डटे रहे।"
hi	outcome.success.easy.pool	3	"तुमने सुना।
और रास्ता खुल गया।"
hi	outcome.success.easy.pool	4	"> तुम यहाँ तक पहुँच गए।
> 
> नियम सरल थे —
> 
> चुनाव तुम्हारा था।"
hi	outcome.success.easy.pool	5	"> दूरी को अर्थ मिला।
> 
> और समय ने तुम्हारे कदमों का उत्तर दिया।"
hi	outcome.success.easy.pool	6	"> हर चीज़ हमेशा नहीं चमकती।
> 
> लेकिन यह क्षण चमका।"
hi	outcome.success.easy.pool	7	"रोशनी बराबर फैल गई,
और हर छाया मिट गई।"
hi	outcome.success.easy.pool	8	"हवा शांत हो गई।
और सब कुछ अपनी जगह लौट आया।"
hi	outcome.success.easy.pool	9	"एक क्षण का मौन।
दुनिया ने फिर साँस ली।"
hi	outcome.success.easy.pool	10	"निशान रेत में गहराई तक दर्ज हो गया —
हवा की पहुँच से दूर।"
hi	outcome.success.easy.pool	11	"संतुलन फिर लौट आया।
सब कुछ इसी क्षण तक ले आया था।"
hi	outcome.success.easy.pool	12	"समय चुपचाप बीत गया,
स्मृति के कोनों में रखा हुआ।"
hi	outcome.success.easy.pool	13	"आकाश ने रंग बदला,
और एक कहानी समाप्त हुई।"
hi	outcome.success.easy.pool	14	"लहरें शांत हो गईं,
और समुद्र ने अपनी गहराई फिर छिपा ली।"
hi	outcome.success.easy.pool	15	"कदम रुक गए,
और केवल वह स्थान रह गया।"
hi	outcome.success.easy.pool	16	"जीत और हार
रेत के कणों से अधिक कुछ नहीं।"
hi	outcome.success.easy.pool	17	"रास्ता आगे बढ़ता है — या यहीं समाप्त होता है।
दोनों ही हाल में वह इसी धरती पर रहता है।"
hi	outcome.success.normal.pool	1	"दूरी को अपना अर्थ मिल गया।
समय ने तुम्हारी यात्रा का उत्तर दिया।"
hi	outcome.success.normal.pool	2	"समय समाप्त हुआ।
लेकिन सब कुछ समाप्त नहीं हुआ।"
hi	outcome.success.normal.pool	3	"धुरी मिल गई।
दुनिया ने अपनी गति रोक दी।"
hi	outcome.success.normal.pool	4	"काँच ने साँस थामे रखी,
और तुम अपनी जगह डटे रहे।"
hi	outcome.success.normal.pool	5	"आकाश की निस्तब्धता के नीचे,
तुम्हारा मन नहीं डगमगाया।"
hi	outcome.success.normal.pool	6	"बहुत कम चीज़ें हमेशा चमकती हैं।
लेकिन यह क्षण पूरा चमका।"
hi	outcome.success.normal.pool	7	"तुमने नाज़ुक धरती पार की,
बिना दृष्टि खोए।"
hi	outcome.success.normal.pool	8	"क्षण बीत गया।
जो रह गया, वह कायम है।"
hi	outcome.success.normal.pool	9	"किस्मत जल्दी फीकी पड़ती है।
क्रम बना रहता है।"
hi	outcome.success.normal.pool	10	"आकाश अपने अंतहीन चक्र में ठहरता नहीं,
और तुम भी नहीं रुके।"
hi	outcome.success.normal.pool	11	"केंद्र तक पहुँचा गया।
दुनिया ठहर गई।"
hi	outcome.success.normal.pool	12	"आख़िरकार यहाँ।
सच अब भी अडिग है।"
hi	outcome.success.normal.pool	13	"तुम अंत तक गए।
और याद रखो: यह रास्ता तुमने चुना था, किसी और ने नहीं।"
hi	outcome.success.normal.pool	14	"समय मौन में उतर गया,
मन की गहराइयों में अपना स्थान पाकर।"
hi	outcome.success.normal.pool	15	"जब आकाश बदल रहा था,
कहानी ने अपना अंत पा लिया।"
hi	outcome.success.normal.pool	16	"जल शांत हो गया,
और आकाश ने अपना अथाहपन फिर ढक लिया।"
hi	outcome.success.normal.pool	17	"कदम थम गए,
और केवल वह स्थान रह गया।"
hi	outcome.success.normal.pool	18	"रोशनी बराबर फैल गई,
और हर छाया मिट गई।"
hi	outcome.success.normal.pool	19	"हवा शांत हो गई।
और सब कुछ अपनी जगह लौट आया।"
hi	outcome.success.normal.pool	20	"एक क्षण का मौन।
दुनिया ने फिर साँस ली।"
hi	outcome.success.normal.pool	21	"निशान रेत में गहराई तक दर्ज हो गया —
हवा की पहुँच से दूर।"
hi	outcome.success.normal.pool	22	"संतुलन फिर लौट आया।
सब कुछ इसी क्षण तक ले आया था।"
hi	outcome.success.normal.pool	23	"दौड़ पूरी हुई।
स्पष्ट। मिल गया।
इतना काफ़ी है।"
hi	outcome.success.normal.pool	24	"दौड़ पूरी हुई।
रास्ता टिका रहा।
तुम भी।"
hi	outcome.success.normal.pool	25	"आकाश चलता रहा।
तुम भी आगे बढ़ सकते हो।"
hi	outcome.success.normal.pool	26	"दौड़ पूरी हुई।
एक शांत परिणाम।
सच्चे काम का भार।"
hi	outcome.success.normal.pool	27	"तुम बस उस रास्ते पर चले
जो दुनिया ने तुम्हारे सामने रखा था।"
hi	outcome.success.normal.pool	28	"ज़मीन नहीं टूटी।
उसने तुम्हारे कदमों पर भरोसा किया।"
hi	outcome.success.normal.pool	29	"यह क्षण तारों की प्राचीन लय से
मेल खा गया।"
