lang	pool	index	translation
pt	outcome.success.easy.pool	1	"Você conseguiu.
A verdade permanece."
pt	outcome.success.easy.pool	2	"Mesmo que tenha sido apenas um pequeno passo,
você se manteve firme."
pt	outcome.success.easy.pool	3	"Você escutou.
O caminho se abriu."
pt	outcome.success.easy.pool	4	"> Você chegou até aqui
> 
> As regras eram simples —
> 
> a escolha era sua."
pt	outcome.success.easy.pool	5	"> A distância ganhou sentido.
> 
> e o tempo respondeu aos seus passos."
pt	outcome.success.easy.pool	6	"> Nem tudo brilha para sempre.
> 
> Mas este momento brilhou."
pt	outcome.success.easy.pool	7	"A luz caiu por igual,
e toda sombra desapareceu."
pt	outcome.success.easy.pool	8	"O vento silenciou.
e tudo voltou ao seu lugar."
pt	outcome.success.easy.pool	9	"Um momento de silêncio.
O mundo firmou a própria respiração."
pt	outcome.success.easy.pool	10	"O registro ficou gravado fundo na areia —
fora do alcance do vento."
pt	outcome.success.easy.pool	11	"A harmonia foi restaurada.
Tudo existiu para este momento."
pt	outcome.success.easy.pool	12	"O tempo passou em silêncio,
guardado nos cantos da memória."
pt	outcome.success.easy.pool	13	"O céu mudou de cor,
e uma história chegou ao fim."
pt	outcome.success.easy.pool	14	"As ondas se acalmaram,
e o mar escondeu de novo sua profundidade."
pt	outcome.success.easy.pool	15	"Os passos pararam,
e apenas o lugar permaneceu."
pt	outcome.success.easy.pool	16	"Vitória e derrota
não são mais que grãos de areia."
pt	outcome.success.easy.pool	17	"A estrada continua — ou termina.
De qualquer forma, repousa sobre a mesma terra."
pt	outcome.success.normal.pool	1	"A distância encontrou seu sentido.
O tempo respondeu à sua jornada."
pt	outcome.success.normal.pool	2	"O tempo acabou.
Mas nem tudo terminou."
pt	outcome.success.normal.pool	3	"O eixo foi encontrado.
O mundo cessou seu movimento."
pt	outcome.success.normal.pool	4	"O vidro sustentou o fôlego,
e você sustentou sua posição."
pt	outcome.success.normal.pool	5	"Sob a quietude do céu,
seu espírito não vacilou."
pt	outcome.success.normal.pool	6	"Poucas coisas brilham para sempre.
Mas este momento foi radiante."
pt	outcome.success.normal.pool	7	"Você atravessou a terra frágil,
sem perder a visão."
pt	outcome.success.normal.pool	8	"O momento passou.
O legado permanece."
pt	outcome.success.normal.pool	9	"A sorte se apaga rápido.
A ordem permanece."
pt	outcome.success.normal.pool	10	"O céu não conhece pausa em seu círculo infinito,
e você também não buscou a sua."
pt	outcome.success.normal.pool	11	"O centro foi alcançado.
O mundo ficou imóvel."
pt	outcome.success.normal.pool	12	"Finalmente aqui.
A verdade permanece inflexível."
pt	outcome.success.normal.pool	13	"Você foi até o fim.
E lembre-se: foi você, e ninguém mais, que escolheu este caminho."
pt	outcome.success.normal.pool	14	"O tempo deslizou para o silêncio,
encontrando lugar nas profundezas da mente."
pt	outcome.success.normal.pool	15	"Enquanto o céu se transformava,
a história encontrou sua resolução final."
pt	outcome.success.normal.pool	16	"As águas se acalmaram,
e o céu voltou a velar seu abismo."
pt	outcome.success.normal.pool	17	"Os passos cessaram,
e apenas o lugar permaneceu."
pt	outcome.success.normal.pool	18	"A luz caiu por igual,
e toda sombra desapareceu."
pt	outcome.success.normal.pool	19	"O vento silenciou.
e tudo voltou ao seu lugar."
pt	outcome.success.normal.pool	20	"Um momento de silêncio.
O mundo firmou a própria respiração."
pt	outcome.success.normal.pool	21	"O registro ficou gravado fundo na areia —
fora do alcance do vento."
pt	outcome.success.normal.pool	22	"A harmonia foi restaurada.
Tudo existiu para este momento."
pt	outcome.success.normal.pool	23	"CORRIDA CONCLUÍDA.
Claro. Encontrado.
Isso basta."
pt	outcome.success.normal.pool	24	"CORRIDA CONCLUÍDA.
O caminho resistiu.
Você também."
pt	outcome.success.normal.pool	25	"O céu continuou se movendo.
Você também pode."
pt	outcome.success.normal.pool	26	"CORRIDA CONCLUÍDA.
Um resultado silencioso.
O peso do trabalho real."
pt	outcome.success.normal.pool	27	"Você apenas caminhou pela trilha
que o mundo colocou diante de você."
pt	outcome.success.normal.pool	28	"O chão não cedeu.
Ele confiou nos seus passos."
pt	outcome.success.normal.pool	29	"Este momento se alinhou
com o ritmo antigo das estrelas."
pt	outcome.success.normal.pool	30	"Você não tomou nada.
Você compreendeu algo."
pt	outcome.success.normal.pool	31	"Você não ganhou coisa alguma.
Apenas viu a verdade como ela era."
pt	outcome.success.normal.pool	32	"Você não tomou este lugar.
Você pertencia a ele."
pt	outcome.success.normal.pool	33	"Você caminhou por uma estrada
mais antiga que a própria memória."
pt	outcome.success.normal.pool	34	"A terra não resistiu.
Ela reconheceu você."
pt	outcome.success.normal.pool	35	"Este momento se alinhou
com a quietude das estrelas."
pt	outcome.success.hard.pool	1	"No vento do norte,
a clareza sobrevive à velocidade."
pt	outcome.success.hard.pool	2	"O centro foi encontrado.
O mundo repousou."
pt	outcome.success.hard.pool	3	"As estrelas permanecem em silêncio.
Seu registro fala por você."
pt	outcome.success.hard.pool	4	"O resultado permaneceu.
A posição mudou."
